id_material,date,material_name,type,amount,unit,photo
1019,2024-10-22,"General Plastic Residue",Residue,9.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/p5njtor7e4kx_gm.jpg
966,2024-10-21,"Wet Organic (Food Waste)",Organic,49.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/rhbiajsu2ev4lz3.jpg
1014,2024-10-21,"General Paper Residue",Residue,9.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/8cg3_zjtfe5iuo1.jpg
1015,2024-10-21,"General Plastic Residue",Residue,7.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/ie1clrds_jyw63v.jpg
1016,2024-10-21,"Plastic Bag Liner",Residue,1.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/7jr3pto9fnmibaw.jpg
1017,2024-10-21,"Glass Bottle","Non Organic",7.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/nckw3a7iyz9xfm6.jpg
965,2024-10-20,"Wet Organic (Food Waste)",Organic,54.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/uxq_379cvt5aosy.jpg
1011,2024-10-20,"General Paper Residue",Residue,11.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/rid60_hv7zpwg8j.jpg
1012,2024-10-20,"General Plastic Residue",Residue,8.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/wa6cydq_j39nugp.jpg
1013,2024-10-20,"Plastic Bag Liner",Residue,2.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/2do07h9ly3twsz4.jpg
964,2024-10-19,"Wet Organic (Food Waste)",Organic,55.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/0uam3cg2xkehpy7.jpg
1007,2024-10-19,"General Paper Residue",Residue,12.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/elkwpanzq8i5mjt.jpg
1008,2024-10-19,"General Plastic Residue",Residue,8.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/fs38nw4_rhayj2b.jpg
1009,2024-10-19,"Plastic Bag Liner",Residue,1.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/1zehd5_ruf9olvk.jpg
1010,2024-10-19,"Plastic bottle","Non Organic",0.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/wslfpbyx51e087z.jpg
963,2024-10-18,"Wet Organic (Food Waste)",Organic,48.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/h_lrbsxied6mzof.jpg
1004,2024-10-18,"General Paper Residue",Residue,10.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/ekitd037pjclnxq.jpg
1005,2024-10-18,"General Plastic Residue",Residue,6.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/517pgq8otkma9il.jpg
1006,2024-10-18,"Plastic Bag Liner",Residue,1.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/yk5am2t1uoh_dq3.jpg
962,2024-10-17,"Wet Organic (Food Waste)",Organic,69.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/3ai1dthoexur_jk.jpg
998,2024-10-17,"General Paper Residue",Residue,11.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/e1xzvdu6_kp7i5w.jpg
999,2024-10-17,"General Plastic Residue",Residue,10.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/b3sgfwucraxie90.jpg
1000,2024-10-17,"Plastic Bag Liner",Residue,2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/h98wogjfrczbt7u.jpg
1001,2024-10-17,"Aluminium Can","Non Organic",0.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/a6wrn2st_pgj13c.jpg
1002,2024-10-17,"Tetra Pack","Non Organic",1,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/yf1cndw8arl_g4s.jpg
1003,2024-10-17,Slipper,Other,1,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/rouy_xd5pcnaez6.jpg
961,2024-10-16,"Wet Organic (Food Waste)",Organic,44.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/ofdn0izxc68bav3.jpg
994,2024-10-16,"General Paper Residue",Residue,9.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/sn3v16q57wlxpf4.jpg
995,2024-10-16,"General Plastic Residue",Residue,7.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/46uvgj891t5w2fx.jpg
996,2024-10-16,"Plastic Bag Liner",Residue,2.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/h73ax0iqgnkwbrt.jpg
997,2024-10-16,"Glass Bottle","Non Organic",3.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/6zr3hm0xbnlqa8t.jpg
960,2024-10-15,"Wet Organic (Food Waste)",Organic,52.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/6dswmkq01x7jza4.jpg
990,2024-10-15,"General Paper Residue",Residue,10.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/_vmz5qbkurfjhx2.jpg
991,2024-10-15,"General Plastic Residue",Residue,9.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/ytpgi0fj5r48x_c.jpg
992,2024-10-15,"Plastic Bag Liner",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/78l1rbeon50zwpv.jpg
993,2024-10-15,"Glass Bottle","Non Organic",2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/7hwg0ealmvxqnuy.jpg
959,2024-10-14,"Wet Organic (Food Waste)",Organic,56.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/gujh8k6c527qb9d.jpg
985,2024-10-14,"General Paper Residue",Residue,12.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/vegdf8yl_57z4pw.jpg
986,2024-10-14,"General Plastic Residue",Residue,11.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/l1s6t35medhqfy9.jpg
987,2024-10-14,"Plastic Bag Liner",Residue,2.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/qlb376u8z_txrdw.jpg
988,2024-10-14,"Glass Bottle","Non Organic",6.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/2fqla3koin0wse5.jpg
989,2024-10-14,"Aluminium Can","Non Organic",0.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/n5ib2gf8sqmwal4.jpg
958,2024-10-13,"Wet Organic (Food Waste)",Organic,48.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/mfe6iluh9wdz0b2.jpg
982,2024-10-13,"General Paper Residue",Residue,11.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/r72jv0tkpyei1mw.jpg
983,2024-10-13,"General Plastic Residue",Residue,10.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/jxc9pldrt5qoym0.jpg
984,2024-10-13,"Plastic Bag Liner",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/_8z54ywf9jvdqnr.jpg
957,2024-10-12,"Wet Organic (Food Waste)",Organic,65.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/bcs93r02p_n6tqe.jpg
978,2024-10-12,"General Paper Residue",Residue,10.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/udoi8bgk0fs3wch.jpg
979,2024-10-12,"General Plastic Residue",Residue,7.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/obxdht0n1cu74lj.jpg
980,2024-10-12,"Plastic Bag Liner",Residue,3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/jdt5xhze_np28r7.jpg
981,2024-10-12,"Glass Bottle","Non Organic",5.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/daku81w6l30q7s2.jpg
956,2024-10-11,"Wet Organic (Food Waste)",Organic,66.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/69ouwjptldqk7cg.jpg
975,2024-10-11,"General Paper Residue",Residue,12.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/akbufx14izsnlme.jpg
976,2024-10-11,"General Plastic Residue",Residue,8.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/4glti7vbadcopmn.jpg
977,2024-10-11,"Plastic Bag Liner",Residue,2.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/pqn9zlcdfxg1u7v.jpg
950,2024-10-10,"Wet Organic (Food Waste)",Organic,48.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/fahd0suo31p475z.jpg
951,2024-10-10,"General Paper Residue",Residue,11.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/cohdrbslw7p3xi0.jpg
952,2024-10-10,"General Plastic Residue",Residue,8.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/sw2pvnrky7cid0t.jpg
953,2024-10-10,"Plastic Bag Liner",Residue,1.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/7yax0gerjv91bu6.jpg
954,2024-10-10,"Glass Bottle","Non Organic",2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/26xzwl1q0btic_9.jpg
955,2024-10-10,"Tetra Pack","Non Organic",0.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/x1tk945np2vewu_.jpg
945,2024-10-09,"Wet Organic (Food Waste)",Organic,57.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/hxg8c06uaez7l2j.jpg
946,2024-10-09,"General Paper Residue",Residue,12.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/hsqwl_fc4vyko32.jpg
947,2024-10-09,"General Plastic Residue",Residue,10.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/euokrc9dm16byv5.jpg
948,2024-10-09,"Plastic Bag Liner",Residue,2.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/oy6huav34_er0bw.jpg
949,2024-10-09,"Glass Bottle","Non Organic",5.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/g6dmsluzy4h83aq.jpg
940,2024-10-08,"Wet Organic (Food Waste)",Organic,62.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/2w3czuy9m6l4pbg.jpg
941,2024-10-08,"General Paper Residue",Residue,17.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/w2dzs0i3ahmu1e_.jpg
942,2024-10-08,"General Plastic Residue",Residue,13.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/cxlbhpeiat29o1_.jpg
943,2024-10-08,"Plastic Bag Liner",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/nptigkv1xqhz8yu.jpg
944,2024-10-08,"Glass Bottle","Non Organic",5.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/znrqis87wx4lkae.jpg
932,2024-10-07,"Wet Organic (Food Waste)",Organic,68.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/cjli7swo8ea04bx.jpg
933,2024-10-07,"General Paper Residue",Residue,11.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/mridzl7o1x_3w8b.jpg
934,2024-10-07,"General Plastic Residue",Residue,10.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/n9cbp6q0wr8f7ui.jpg
935,2024-10-07,"Glass Bottle","Non Organic",5.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/edal4f5ju8mgi3y.jpg
936,2024-10-07,"Plastic Bag Liner",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/g5m2yb146qiwkxd.jpg
937,2024-10-07,"Tetra Pack","Non Organic",0.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/5g9qj46smku_lot.jpg
938,2024-10-07,"Aluminium Can","Non Organic",0.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/rnvz5gdup72b9if.jpg
939,2024-10-07,Slipper,Other,0.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/jmpflx7cq946uzb.jpg
927,2024-10-06,"Wet Organic (Food Waste)",Organic,63.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/upfrw62791lsk8_.jpg
928,2024-10-06,"General Paper Residue",Residue,13.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/_xdjwqazniep375.jpg
929,2024-10-06,"General Plastic Residue",Residue,10.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/pyquiz9jtvfrcx3.jpg
930,2024-10-06,"Plastic Bag Liner",Residue,2.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/vj2x7kelma0ht5_.jpg
931,2024-10-06,"Glass Bottle","Non Organic",4.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/jpoy7r9_qhf3gc2.jpg
921,2024-10-05,"Wet Organic (Food Waste)",Organic,48.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/kf630d85rep4ny2.jpg
922,2024-10-05,"General Paper Residue",Residue,11.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/pvrli3fng6a2b_e.jpg
923,2024-10-05,"General Plastic Residue",Residue,10.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/b2up5_vnde8lxqf.jpg
924,2024-10-05,"Plastic Bag Liner",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/5tq32rixvyokflp.jpg
925,2024-10-05,"Glass Bottle","Non Organic",7.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/fyjgoux5b26ic_z.jpg
926,2024-10-05,"Plastic bottle","Non Organic",0.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/f4hsdz875cjly_x.jpg
915,2024-10-04,"Wet Organic (Food Waste)",Organic,57.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/yszhrnxugc1l9i5.jpg
916,2024-10-04,"General Paper Residue",Residue,11.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/ia9w60pdgb_5s7m.jpg
917,2024-10-04,"General Plastic Residue",Residue,11.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/2bdfguyn0s1_rxk.jpg
918,2024-10-04,"Plastic Bag Liner",Residue,1.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/io1vh4j8luzkmry.jpg
919,2024-10-04,"Glass Bottle","Non Organic",5.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/kj0afy15bietu92.jpg
920,2024-10-04,"Aluminium Can","Non Organic",0.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/wl9zrqd2x1fnemh.jpg
908,2024-10-03,"Wet Organic (Food Waste)",Organic,55.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/_edxro5gkq1jlam.jpg
909,2024-10-03,"General Paper Residue",Residue,10.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/ltd17x_bnzg9vsu.jpg
910,2024-10-03,"General Plastic Residue",Residue,8.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/lpm1s4g6jr2ui0_.jpg
911,2024-10-03,"Plastic Bag Liner",Residue,2.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/vjp718oxm4ydztr.jpg
912,2024-10-03,"Glass Bottle","Non Organic",4.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/34h68ioy7swbltz.jpg
913,2024-10-03,Slipper,Other,0.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/5jt8ok_w1r3h4ml.jpg
914,2024-10-03,"Tetra Pack","Non Organic",0.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/fw1en4gx0sd9ziv.jpg
902,2024-10-02,"Wet Organic (Food Waste)",Organic,49.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/me2jsv_dnow0gr4.jpg
903,2024-10-02,"General Paper Residue",Residue,14.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/dwk7x812oh4tmlf.jpg
904,2024-10-02,"General Plastic Residue",Residue,12.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/dx2u0n6ofmev3bl.jpg
905,2024-10-02,"Plastic Bag Liner",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/h3584mdo7frytlp.jpg
906,2024-10-02,"Aluminium Can","Non Organic",0.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/pbr3gfkyi809jon.jpg
907,2024-10-02,"Plastic bottle","Non Organic",0.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/qztxu9r4c85bi2h.jpg
897,2024-10-01,"Wet Organic (Food Waste)",Organic,66.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/qa89scjtm1g3yf2.jpg
898,2024-10-01,"General Paper Residue",Residue,13.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/1dy725a6qfxcp3e.jpg
899,2024-10-01,"General Plastic Residue",Residue,8.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/9delrv8j_h2pt0q.jpg
900,2024-10-01,"Plastic Bag Liner",Residue,2.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/rkqj50d4sx1iemv.jpg
901,2024-10-01,"Glass Bottle","Non Organic",2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/gdbnvwfx0ema6is.jpg
892,2024-09-30,"Wet Organic (Food Waste)",Organic,49.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/9a3wrboqe0l2fj1.jpg
893,2024-09-30,"General Paper Residue",Residue,8.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/rcht0bgu6yin5o9.jpg
894,2024-09-30,"General Plastic Residue",Residue,7.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/d62_5plcktiyjms.jpg
895,2024-09-30,"Plastic Bag Liner",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/wlg3yvdpih6kunq.jpg
896,2024-09-30,"Glass Bottle","Non Organic",4.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/s8rd7bzj4cfax35.jpg
857,2024-09-29,"Wet Organic (Food Waste)",Organic,53.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/c47fg0sir2dab5e.jpg
858,2024-09-29,"Aluminium Can","Non Organic",0.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/5aqlm1pwek04jhu.jpg
859,2024-09-29,"Tetra Pack","Non Organic",0.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/o2g3kh7lu5v1eyt.jpg
860,2024-09-29,"General Paper Residue",Residue,19.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/kyvwzpn39jl0s7e.jpg
861,2024-09-29,"General Plastic Residue",Residue,17.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/2nmst_ckiqubolz.jpg
862,2024-09-29,"Plastic Bag Liner",Residue,3.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/k86pni17v23wfuo.jpg
863,2024-09-29,"Glass Bottle","Non Organic",11.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/9y8j_rz2exmdbul.jpg
864,2024-09-29,"Plastic bottle","Non Organic",0.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/6qdtguylwki3_4h.jpg
